JOSE ROBERTO SOARES DO NASCIMENTO,3
JOSE SERGIO DA ROCHA NETO,3
JOSE SOARES DO NASCIMENTO,3
JOSE TAVARES DE SOUSA,5
JOSE WALLACE BARBOSA DO NASCIMENTO,12
JOSE WASHINGTON DE MORAIS MEDEIROS,4
JOSEAN FECHINE TAVARES,4
JOSEANA MACEDO FECHINE,1
JOSELINE MOLOZZI,4
JOSEMIR MOURA MAIA,1
JOSERLAN NONATO MOREIRA,1
JOSEVAL DOS REIS MIRANDA,3
JOSEVANIA DA SILVA,2
JOSIANE DE CAMPOS CRUZ,1
JOSIAS DE CASTRO GALVAO,1
JOSILENE DE ASSIS CAVALCANTE,6
JOSILENE PINHEIRO MARIZ,4
JOSIVANDA PALMEIRA GOMES,12
JOZEMAR PEREIRA DOS SANTOS,3
JOZINETE VIEIRA PEREIRA,3
JUAN MOISES MAURICIO VILLANUEVA,3
JUAREZ NOGUEIRA LINS,1
JUCIANE ARALDI BELTRAME,1
JUCIENE RICARTE APOLINARIO,1
JULIANA KESSIA BARBOSA SOARES MOREIRA,12
JULIO RIQUE NETO,4
JULIO SANTOS REBOUCAS,4
JUSCELINO DE FARIAS MARIBONDO,1
JUSSARA SILVA DANTAS,4
KAROLINE DANTAS BRITO,3
KATIA MESSIAS BICHINHO,1
KATIA NEYLA DE FREITAS MACEDO COSTA,6
KATIA SUELY QUEIROZ SILVA RIBEIRO,12
KELLY CRISTIANE GOMES DA SILVA,8
KELLY CRISTINA COSTA SOARES,1
KEPLER BORGES FRANCA,9
KILSON PINHEIRO LOPES,2
KLEBER JUVENAL SILVA FARIAS,2
KYLLER COSTA GORGONIO,4
LAERCIO LOSANO,1
LAURENIA SOUTO SALES,2
LAURIANE ALMEIDA DOS ANJOS SOARES,6
LEANDRO BALBY MARINHO,6
LEANDRO CALEGARI,1
LEANDRO DE ARAUJO PERNAMBUCO,5
LEDA CHRISTIANE DE FIGUEIREDO LOPES LUCENA,2
LEILSON ROCHA BEZERRA,4
LEMUEL DOURADO GUERRA SOBRINHO,6
LEON VICTOR DE QUEIROZ BARBOSA,4
LEONARDO DE ARAUJO E MOTA,4
LEONARDO PESSOA FELIX,1
LEONARDO WANDERLEY LOPES,5
LEONIDAS JOSE DA SILVA JUNIOR,2
LIANE SCHNEIDER,8
LIBIA DE SOUSA CONRADO OLIVEIRA,10
LILIANA DE FATIMA BEZERRA LIRA DE PONTES,1
LINDUARTE PEREIRA RODRIGUES,2
LIRIA DE ARAUJO MORAIS,2
LISIANE NAVARRO DE LIMA SANTANA,5
LIVIA MARIA RODRIGUES SAMPAIO CAMPOS,1
LIZANDRA SERAFIM,2
LIZIANE MARIA DE LIMA,1
LOURIVALDO MOTA LIMA,2
LUCIA HELENA GAROFALO CHAVES,6
LUCIA SANTANA DE FREITAS,4
LUCIANA APARECIDA ALIAGA AZARA DE OLIVEIRA,2
LUCIANA BORRE NUNES,1
LUCIANA DE OLIVEIRA CHIANCA,2
LUCIANA ELEONORA DE FREITAS CALADO DEPLAGNE,10
LUCIANA MARIA RIBEIRO DE OLIVEIRA,1
LUCIANA VIANA AMORIM,5
LUCIANE ALVES SANTOS,3
LUCIANO BARBOSA JUSTINO,12
LUCIANO BEZERRA GOMES,1
LUCIANO DA SILVA,3
LUCIANO DO NASCIMENTO SILVA,11
LUCIANO MARIZ MAIA,2
LUCIDIO DOS ANJOS FORMIGA CABRAL,1
LUCILA CHEBEL LABAKI,2
LUCILENE KLENIA RODRIGUES BANDEIRA,1
LUCINEIDE BALBINO DA SILVA,2
LUCIO ROBERTO CANCADO CASTELLANO,1
